uid,latitude,longitude,date,split,meanlogDensity300,distance
aabm,39.0803190688889,-86.4308666666667,2018-05-14,train,11.395510484774595,300
aabn,36.5597,-121.51,2016-08-31,test,14.937536987319405,300
aacd,35.8750832404158,-78.8784342810571,2020-11-19,train,9.302171697692136,300
aaee,35.487,-79.0621329580003,2016-08-24,train,9.213549181462735,300
aaff,38.04947082,-99.82700111,2019-07-23,train,11.780139973505857,300
aafl,39.474744,-86.898353,2021-08-23,train,11.23764152337981,300
aafp,35.6477424743416,-79.2717820986074,2017-11-15,train,9.299586248055304,300
aagm,35.90688526381,-79.1329616264296,2020-06-10,train,9.26119346788884,300
aahy,35.726521939921,-79.1254577750524,2014-08-12,train,9.006736111416773,300
aaia,35.98,-78.7916861916675,2018-06-27,train,9.278821095579351,300
aaie,35.8613251384981,-78.7683213767603,2013-11-06,train,9.095279203189095,300
aaig,35.8962328282395,-79.0477049082042,2015-08-24,train,9.081525249050395,300
aair,33.0426,-117.076,2014-11-01,test,-1.0,300
aajk,37.74668,-97.77936,2021-10-18,train,11.82027942961511,300
aajw,40.703968,-80.29305,2015-08-26,test,8.59970207897848,300
aalr,38.9725,-94.67293,2019-08-26,test,11.771819398057971,300
aalw,34.279,-118.905,2018-01-08,test,-1.0,300
aamg,37.9718,-121.374,2015-08-18,train,15.015304331972018,300
aamp,40.43393,-105.0334,2017-07-28,test,9.89321417222782,300
aaoj,38.0201,-122.259,2015-07-07,train,15.026109051500573,300
aaoy,35.79,-79.0263922532941,2018-06-13,train,9.28484814946528,300
aapj,33.8892,-117.562,2018-01-09,test,10.83142222979333,300
aaqc,37.3906,-120.958,2013-07-09,train,14.728287185638571,300
aaqd,35.9075374537429,-79.1381814255046,2020-08-13,train,9.28013749666176,300
aaqf,39.820323,-79.921575,2013-08-17,test,7.890265890552575,300
aaql,38.691,-100.924,2018-08-13,train,11.745867914388635,300
aaqq,36.6519,-120.632,2017-03-09,train,14.918268577628073,300
aarj,36.115,-78.9087588280644,2013-07-29,train,8.891463481885122,300
aarq,39.90293,-75.18015,2017-12-05,train,9.845281697300942,300
aauw,35.703553467355,-79.1681192247916,2019-06-06,train,9.264623781620468,300
aauy,36.313,-79.1149777897167,2020-02-26,test,9.272009496884726,300
aava,40.82201,-77.46996,2018-04-11,test,9.238618096587214,300
aavi,34.41,-78.3,2020-05-18,test,9.25986885613977,300
aavk,41.292492,-80.45833,2016-07-20,test,8.179291517551164,300
aaxb,35.7229289575381,-79.1321313506199,2018-08-27,train,9.292875002227877,300
aaxc,34.446,-119.876,2020-03-18,test,14.681391529334725,300
aaxe,37.2486,-120.851,2019-01-17,train,14.971906449162251,300
aays,39.12106,-95.41118,2018-08-27,test,11.615955955492113,300
abau,35.6822351052168,-79.207715773159,2016-06-21,train,9.130232102933348,300
abbf,37.6003,-121.224,2015-01-13,train,15.068544802722379,300
abbz,35.7154236165606,-79.1460717084721,2016-06-08,train,9.137080784352404,300
abcg,37.4583,-120.967,2016-03-08,train,14.968012840093325,300
abcx,38.0505,-121.418,2013-01-15,train,14.783837677388073,300
abdc,36.9818,-120.221,2021-07-14,test,14.972805647761456,300
abdk,35.7589,-105.1445,2017-06-19,train,8.470923792111622,300
abdw,35.48,-76.82,2020-02-26,test,9.270826057396047,300
abei,35.976,-78.7561418455852,2016-04-13,train,9.121901538489112,300
aben,35.888158095737,-78.9830788244183,2019-07-02,train,9.26870605417891,300
abeu,39.7533,-121.971,2019-05-22,test,14.823574613617684,300
abhd,34.6721,-120.492,2014-02-28,test,15.209462342944347,300
abin,35.8580331321702,-78.7419738195245,2014-07-15,train,9.030800587806342,300
abit,48.97325,-100.3713,2017-08-01,test,11.983777615299427,300
abjj,42.056766,-78.879216,2019-09-24,train,8.765285240547188,300
abjq,34.9454,-120.417,2017-09-26,test,14.96898942310833,300
abjr,36.7962,-121.782,2016-01-19,test,14.990087648612077,300
abjx,38.1156,-121.494,2013-08-20,train,14.83853529678737,300
abka,41.72506,-85.01198,2017-08-02,train,9.550077832297946,300
abkx,36.3708,-119.429,2016-06-22,test,14.863194882530772,300
abmo,35.8952700716719,-79.0399994905221,2015-06-10,train,8.97689686621958,300
aboc,44.761667,-82.783333,2018-04-03,train,6.854625779973082,300
abqi,35.6954359886381,-79.1831965621849,2016-04-06,train,9.136015600480073,300
abqw,37.8717,-121.526,2016-05-17,train,14.968148659414252,300
abrn,41.890646,-78.925275,2017-10-05,train,8.736479930392138,300
absk,35.433,-80.1,2016-06-21,test,9.130232102933348,300
absl,42.086392,-78.874325,2013-07-16,train,6.202405321226568,300
abso,35.6500313371928,-79.2675307838014,2016-07-19,train,9.166671344702662,300
absx,36.9128,-121.744,2014-12-03,test,15.065181022223241,300
abua,44.736667,-86.721667,2016-08-05,train,6.296155468450062,300
abui,37.1366,-120.762,2020-05-12,train,14.971640270091784,300
abvn,41.693325,-80.07708,2015-09-25,test,8.38328586265405,300
abvy,44.87109,-103.0033,2017-06-12,train,-1.0,300
abwl,44.0,-82.35,2017-03-31,train,6.434667230148879,300
abxl,38.1602,-121.206,2019-03-19,train,14.978493401147492,300
abzb,36.313,-79.1148294880374,2020-02-26,test,9.272009496884726,300
abzk,39.21155,-97.00559,2017-08-28,train,11.663647564884856,300
abzw,35.8640581248836,-78.7901948205032,2015-04-22,train,9.024136164543187,300
acbt,39.3092,-121.595,2019-08-22,train,14.930894506339408,300
accd,35.8668842812594,-78.8128139498283,2016-05-24,train,9.115368428162077,300
acck,35.6937858782105,-79.1862614635567,2016-12-13,train,9.228050113396344,300
acdj,37.3906,-120.958,2015-04-14,train,15.04166137929804,300
acex,37.0062,-120.6,2021-07-14,test,14.972805647761456,300
acgm,36.13,-79.0676695540267,2020-06-24,train,9.265017703734989,300
acgx,35.6983636039131,-79.1777588339447,2014-07-22,train,8.978212633706491,300
acix,37.3978,-120.96,2020-08-11,train,14.973598111923248,300
acje,39.6242,-122.197,2018-06-20,test,14.907941231351234,300
ackq,35.976,-78.7504249227888,2015-11-16,train,9.1867616855512,300
ackx,47.62155,-89.463167,2017-08-25,test,10.952215058476986,300
aclb,38.4831216812134,-75.1296916643778,2020-11-10,train,9.758474553445296,300
acld,35.6425259962153,-79.2814711416536,2020-07-15,train,9.272382497301402,300
aclj,44.868638,-93.524033,2013-09-23,train,6.337614199843893,300
acmt,37.2583,-120.475,2013-02-12,train,14.657383206931348,300
acoa,35.6843376652779,-79.2038104956047,2015-06-22,train,8.960820612577443,300
acoz,35.6315873609609,-79.3017884717148,2015-05-06,train,9.005281027577448,300
acpf,35.9136245597832,-79.1868995502048,2014-06-23,train,9.044745774596828,300
acpk,37.82493334,-99.91665915,2021-08-16,train,11.846125736153619,300
acqg,35.794,-79.019916413299,2016-09-20,train,9.22145516656068,300
acqj,35.8594927953534,-78.7536562269781,2013-04-23,train,8.053342441429916,300
acqu,35.4265,-118.832,2020-07-21,test,15.044112430905729,300
acta,41.005131,-81.021802,2016-08-02,test,8.35792798075742,300
actk,41.89424,-78.93875,2019-04-16,train,8.70987673774827,300
actm,38.720200030009,-75.0800833304723,2017-08-21,train,10.158486499457013,300
actx,36.8739,-121.745,2020-04-29,test,14.979508612192888,300
acuf,41.964856,-110.654119,2018-08-22,train,10.970929704358023,300
acwc,39.61525,-84.9661444444445,2020-08-25,test,11.214623353178524,300
acwk,35.9086244369644,-79.1468810906296,2021-04-28,train,9.294756392222729,300
acwm,34.942,-120.557,2013-05-28,test,14.570895241241907,300
acwx,37.1366,-120.762,2015-01-13,train,15.068544802722379,300
acwy,47.62155,-89.463167,2018-05-13,test,11.089728515053164,300
acxn,37.2343,-121.87,2015-02-06,train,15.068983283698831,300
acyg,35.79,-79.0323243204653,2020-03-11,train,9.268910796532328,300
acyi,44.878889,-93.490833,2013-06-18,train,5.834198720455762,300
acyk,35.61,-78.9969982886183,2021-05-18,train,9.293583108103338,300
acyl,35.724845214809,-79.1285721103172,2018-08-06,train,9.291300220545946,300
aczv,35.6448680884353,-79.2771209590615,2019-07-02,train,9.268283046738556,300
aczx,35.62476,-78.7111521487958,2016-06-22,train,9.155756853277598,300
adau,44.14,-87.233333,2016-08-05,train,6.761761326116371,300
addj,41.726667,-83.15,2018-04-07,test,9.450925272814679,300
adef,35.742,-79.2289065046657,2016-05-24,train,9.115368428162077,300
adfl,35.8621947250753,-78.7752811088603,2014-05-19,train,9.05087894045698,300
adgs,35.3207,-120.806,2014-02-27,test,14.765644646230806,300
adhj,35.6907784188826,-79.1918474934762,2019-02-19,train,9.27695157918128,300
adjx,41.0491,-121.762,2021-08-23,train,14.445983909342086,300
admd,46.993333,-85.1645,2016-08-22,test,6.456595236707998,300
admk,45.48802,-96.44255,2017-08-21,test,7.450467921998997,300
admo,35.6914970153592,-79.1905127783627,2018-08-09,train,9.29032821079963,300
adow,35.6672776526305,-79.2354976210772,2016-12-13,train,9.228050113396344,300
adqc,35.6700721944839,-79.2303070623025,2015-08-06,train,9.043313499960494,300
adra,41.299298,-80.758329,2018-07-05,test,8.465423667431281,300
adsv,35.8852387693708,-78.959714009511,2018-02-21,train,9.308443506145604,300
adtv,35.79,-79.0218443351296,2017-03-21,train,9.224708290204438,300
adtx,35.8930961052289,-79.022600160272,2021-10-12,train,9.296604540612961,300
aduy,35.8674433012019,-78.8172880633212,2016-07-19,train,9.166671344702662,300
advr,47.85615,-88.041917,2013-04-15,test,-1.0,300
adwf,35.7061084770495,-79.1633735710546,2016-06-08,train,9.137080784352404,300
adwg,40.7201033333333,-85.1058325,2021-05-24,train,10.6684909448319,300
adwl,35.7252178203894,-79.1278800358139,2013-08-26,train,9.021509690809987,300
adxk,41.3305639294444,-85.3836083333333,2020-06-08,train,10.254576102783425,300
adxl,37.3169,-120.742,2017-04-11,train,14.934610044437104,300
adxo,41.841242,-78.994719,2020-09-02,train,8.997227636138417,300
adzg,35.6984168332817,-79.1776599661585,2014-07-22,train,8.978212633706491,300
aeaj,35.65,-78.6877873338886,2021-08-11,train,9.291147123677632,300
aeap,35.794,-79.010326238039,2014-08-05,train,8.986050530971266,300
aebg,35.637549050248,-79.290715279662,2015-07-23,train,8.997664240272298,300
aecj,36.7962,-121.782,2015-08-26,test,15.005648259513102,300
aeco,38.2996,-121.383,2019-03-19,train,14.978493401147492,300
aecy,35.6599319997589,-79.2491413755709,2020-09-24,train,9.294615871183423,300
aedy,37.6756,-121.264,2016-10-18,train,14.941980303678784,300
aeea,34.73,-77.44,2021-07-20,test,9.28932408569492,300
aefb,36.03,-78.6825675348135,2020-06-01,train,9.254330235892239,300
aeib,35.7043519078845,-79.1666362079988,2014-08-13,train,8.99063069687318,300
aeid,39.16522,-96.91105,2016-09-26,train,11.587967841218454,300
aejc,42.021242,-78.95833,2017-10-04,train,8.602909681283235,300
aekm,35.65436,-79.012160562122,2016-08-24,train,9.213549181462735,300
aelv,35.79,-79.0332635644341,2020-06-10,train,9.260504824390502,300
aemv,39.3092,-121.595,2014-11-18,train,15.062460979696953,300
