uid,latitude,longitude,date,split
aabm,39.0803190688889,-86.4308666666667,2018-05-14,train
aafp,35.6477424743416,-79.2717820986074,2017-11-15,train
aagm,35.90688526381,-79.1329616264296,2020-06-10,train
aaia,35.98,-78.7916861916675,2018-06-27,train
aaql,38.691,-100.924,2018-08-13,train
aarq,39.90293,-75.18015,2017-12-05,test
aaxe,37.2486,-120.851,2019-01-17,train
abjj,42.056766,-78.879216,2019-09-24,test
aboc,44.761667,-82.783333,2018-04-03,train
abrn,41.890646,-78.925275,2017-10-05,test
acix,37.3978,-120.96,2020-08-11,train
aclb,38.4831216812134,-75.1296916643778,2020-11-10,train
acld,35.6425259962153,-79.2814711416536,2020-07-15,train
actk,41.89424,-78.93875,2019-04-16,test
actm,38.720200030009,-75.0800833304723,2017-08-21,train
acyg,35.79,-79.0323243204653,2020-03-11,train
acyl,35.724845214809,-79.1285721103172,2018-08-06,train
adjx,41.0491,-121.762,2021-08-23,train
adwg,40.7201033333333,-85.1058325,2021-05-24,train
adxk,41.3305639294444,-85.3836083333333,2020-06-08,train
adxo,41.841242,-78.994719,2020-09-02,test
aelv,35.79,-79.0332635644341,2020-06-10,train
afbl,35.6782695172535,-79.2150814232298,2018-08-09,test
afcm,41.99847,-78.95185,2019-08-19,train
afeh,35.51,-79.041222421222,2021-08-02,train
afek,41.992305,-78.929219,2019-09-24,train
afel,37.8189,-121.358,2019-07-16,test
affc,35.98,-78.7964088670211,2018-10-25,train
afhu,35.98,-78.8292190326355,2020-11-17,test
afwi,38.2104,-121.262,2017-02-28,train
agbl,36.17,-79.055558250219,2020-06-23,train
aggy,41.3305639294444,-85.3836083333333,2021-08-17,train
agpk,35.7229555722224,-79.1320819167268,2018-08-27,train
agrt,36.11,-78.9060246475965,2018-08-27,train
agsx,36.03,-78.72,2019-03-20,train
agvj,41.702596,-85.022696,2020-07-06,test
ahcm,42.027378,-78.967089,2019-10-25,train
ahfv,38.7605000178019,-75.2028333346049,2020-11-11,train
ahgu,41.707665,-73.382964,2017-08-17,train
ahhw,37.2583,-120.475,2017-08-15,train
ahpj,35.9056740539346,-79.1232677138617,2019-11-14,train
ahpn,37.8817,-121.249,2018-07-17,train
ahuv,40.7201033333333,-85.1058325,2021-06-21,train
ahvi,35.6809576003696,-79.2100886000275,2017-02-14,train
aiap,35.6756878928747,-79.2198765108599,2020-01-09,train
aiby,38.7819903391667,-85.6982861111111,2021-08-24,train
